date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit
2026-08-10,017,芬超,lg-fin,,,,5.0,10.0,2.0,4.0,,,,,,,,,,,,-5.0,-2.0,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
2026-08-10,018,葡超,lg-prime,,2.61,1.6,9.0,15.0,,,,,,,,,,,,,1.0099999999999998,-6.0,,,,,2-0（2-0）,主胜,胜胜,2,2,0,2.0,0.0,ok,ok,ok,
2026-08-10,019,挪超,lg-nor,,1.2,3.61,11.0,31.0,,,,,,,,,,,,,-2.41,-20.0,,,,,2-1（1-0）,主胜,胜胜,3,2,1,1.0,0.0,no,no,no,
2026-08-10,020,葡超,lg-prime,,3.44,1.07,28.0,8.0,,,,,,,,,,,,,2.37,20.0,,,,,2-2,平,,4,2,2,,,no,no,no,
2026-08-10,021,葡超,lg-prime,,1.66,0.19,13.0,6.0,,,,,,,,,,,,,1.47,7.0,,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,ok,ok,ok,
2026-08-10,022,葡超,lg-prime,,0.22,1.32,7.0,13.0,,,,,,,,,,,,,-1.1,-6.0,,,,,2-2（1-1）,平,平平,4,2,2,1.0,1.0,ok,ok,ok,
2026-08-10,023,巴甲,lg-bras,,1.64,1.16,22.0,8.0,,,,,,,,,,,,,0.48,14.0,,,,,0-2,客胜,,2,0,2,,,ok,ok,ok,
2026-08-10,024,巴甲,lg-bras,,1.14,0.18,20.0,7.0,,,,,,,,,,,,,0.96,13.0,,,,,2-0,主胜,,2,2,0,,,ok,ok,ok,
2026-08-11,001,瑞超,lg-swe,,0.27,2.29,5.0,11.0,,,,,,,,,,,,,-2.02,-6.0,,,,,1-0（1-0）,主胜,胜胜,1,1,0,1.0,0.0,no,no,no,
2026-08-11,002,瑞超,lg-swe,,1.39,0.6,19.0,13.0,,,,,,,,,,,,,0.7899999999999999,6.0,,,,,2-2（2-2）,平,平平,4,2,2,2.0,2.0,no,no,ok,
2026-08-11,003,葡超,lg-prime,,1.74,1.23,19.0,10.0,,,,,,,,,,,,,0.51,9.0,,,,,2-2（2-2）,平,平平,4,2,2,2.0,2.0,ok,no,ok,
2026-08-11,004,亚冠,lg-k1,,,,,,,,,,,,,,,,,,,,,,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,ok,ok,ok,
2026-08-11,005,欧冠资格赛,lg-ucl,,1.34,1.04,21.0,9.0,,,,,,,,,,,,,0.30000000000000004,12.0,,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
